time,open,high,low,close,volume
2018-08-09 07:00:00,8.03,8.03,7.07,7.07,300
2018-08-10 07:00:00,8.0,8.0,7.15,7.15,306
2018-08-13 07:00:00,7.15,7.15,7.15,7.15,1054
2018-08-14 07:00:00,7.15,7.15,6.74,7.15,1300
2018-08-15 07:00:00,7.15,7.59,7.15,7.59,700
2018-08-16 07:00:00,8.0,8.0,7.01,7.01,300
2018-08-17 07:00:00,7.44,7.56,7.44,7.56,254
2018-08-20 07:00:00,8.15,8.15,7.56,7.56,200
2018-08-21 07:00:00,7.56,7.56,7.56,7.56,100
2018-08-22 07:00:00,7.71,7.71,7.71,7.71,100
2018-08-23 07:00:00,7.71,7.71,7.71,7.71,10
2018-08-24 07:00:00,8.03,8.03,8.03,8.03,100
2018-08-27 07:00:00,8.44,8.44,8.44,8.44,122
2018-08-28 07:00:00,7.56,7.56,7.33,7.33,200
2018-08-29 07:00:00,8.29,8.29,8.29,8.29,130
2018-08-30 07:00:00,8.5,8.5,7.88,7.88,230
2018-08-31 07:00:00,8.32,9.34,8.06,8.17,2800
2018-09-05 07:00:00,8.47,8.47,8.03,8.03,300
2018-09-06 07:00:00,8.5,8.5,7.33,7.33,1710
2018-09-07 07:00:00,8.03,8.03,8.03,8.03,100
2018-09-10 07:00:00,8.53,8.53,7.91,7.91,200
2018-09-11 07:00:00,8.15,8.15,7.33,7.42,3100
2018-09-12 07:00:00,7.59,7.59,7.59,7.59,100
2018-09-14 07:00:00,7.3,7.56,7.07,7.47,500
2018-09-17 07:00:00,7.71,7.71,7.71,7.71,100
2018-09-18 07:00:00,7.3,7.3,7.3,7.3,500
2018-09-19 07:00:00,7.53,7.53,7.53,7.53,100
2018-09-21 07:00:00,6.77,7.71,6.77,7.71,400
2018-09-24 07:00:00,7.42,7.42,7.42,7.42,900
2018-09-25 07:00:00,8.03,8.03,7.42,7.42,1510
2018-09-26 07:00:00,7.36,7.36,7.33,7.33,501
2018-09-27 07:00:00,7.44,7.44,7.42,7.42,1500
2018-09-28 07:00:00,7.91,8.29,7.09,8.0,28924
2018-10-01 07:00:00,7.88,7.88,7.3,7.3,1620
